style_code,Core_New
150154,mp exclusive
150155,mp exclusive
150156,discontinued
150157,mp exclusive
150158,mp exclusive
151031,discontinued
151032,mp exclusive
151033,mp exclusive
151034,mp exclusive
151035,continuity
151036,continuity
151037,continuity
151038,continuity
151039,mp exclusive
151040,continuity
151041,mp exclusive
151042,discontinued
151159,discontinued
151160,discontinued
151161,discontinued
151162,discontinued
151163,discontinued
151164,discontinued
151165,discontinued
151166,discontinued
151167,discontinued
221291,discontinued
151168,discontinued
151491,discontinued
151492,discontinued
151493,discontinued
151494,discontinued
151495,discontinued
151496,discontinued
151497,discontinued
151498,discontinued
151505,continuity
151506,continuity
152160,discontinued
152161,discontinued
152162,continuity
152163,discontinued
152164,mp exclusive
200261,continuity
200262,continuity
200263,continuity
200264,discontinued
200266,mp exclusive
200267,discontinued
200268,mp exclusive
216332,discontinued
221312,discontinued
221302,discontinued
200269,mp exclusive
200272,mp exclusive
200273,discontinued
200274,mp exclusive
200275,mp exclusive
200276,discontinued
200277,discontinued
200279,mp exclusive
200280,discontinued
200281,discontinued
200282,discontinued
200283,discontinued
200284,discontinued
200285,discontinued
200286,continuity
200287,discontinued
200288,continuity
200289,discontinued
200290,mp exclusive
200291,mp exclusive
200361,discontinued
201292,discontinued
201293,discontinued
201501,discontinued
210072,mp exclusive
204451,discontinued
204452,discontinued
204453,discontinued
204454,discontinued
204455,discontinued
204456,discontinued
204457,discontinued
204458,discontinued
204459,discontinued
204460,discontinued
204461,discontinued
204462,discontinued
204463,discontinued
204464,discontinued
204465,discontinued
204466,discontinued
204467,discontinued
204468,discontinued
205941,discontinued
206573,discontinued
206574,discontinued
206575,discontinued
206576,discontinued
206577,discontinued
206975,discontinued
206976,discontinued
206977,discontinued
207492,discontinued
207771,discontinued
208965,discontinued
210071,mp exclusive
210073,discontinued
210074,mp exclusive
210075,mp exclusive
210076,mp exclusive
210077,mp exclusive
210078,discontinued
210079,discontinued
210080,discontinued
210081,mp exclusive
210082,mp exclusive
210921,continuity
210922,continuity
210923,continuity
210924,continuity
210925,continuity
210926,continuity
210927,continuity
210928,continuity
210929,mp exclusive
210930,mp exclusive
210931,mp exclusive
210932,discontinued
210933,mp exclusive
210934,mp exclusive
210935,mp exclusive
210936,discontinued
222043,discontinued
221313,discontinued
221304,discontinued
210937,discontinued
210938,discontinued
210939,discontinued
210940,mp exclusive
210941,discontinued
210942,mp exclusive
210943,discontinued
210944,discontinued
210945,mp exclusive
210946,mp exclusive
210947,mp exclusive
210948,discontinued
210949,mp exclusive
210950,mp exclusive
210951,discontinued
210952,mp exclusive
210953,discontinued
210954,discontinued
210955,discontinued
211891,continuity
211892,discontinued
211893,continuity
211894,discontinued
211895,discontinued
211896,mp exclusive
211897,discontinued
211898,discontinued
211899,discontinued
211900,continuity
211901,continuity
211902,discontinued
211903,discontinued
211904,discontinued
211905,discontinued
211906,discontinued
211907,discontinued
211908,discontinued
211909,discontinued
211910,discontinued
211911,discontinued
211912,discontinued
211913,discontinued
211914,discontinued
211915,discontinued
211916,discontinued
211917,discontinued
212418,discontinued
212419,discontinued
212422,discontinued
212423,discontinued
212619,discontinued
212620,discontinued
212621,discontinued
221311,discontinued
221329,discontinued
221328,discontinued
212622,discontinued
212623,discontinued
212624,discontinued
212625,continuity
212626,continuity
200265,mp exclusive
200278,mp exclusive
207773,discontinued
207774,discontinued
200270,mp exclusive
200271,mp exclusive
221314,discontinued
221322,discontinued
221295,discontinued
221316,discontinued
221324,discontinued
221296,discontinued
221323,discontinued
221325,discontinued
221315,discontinued
221326,discontinued
219671,discontinued
220331,discontinued
220492,discontinued
220501,discontinued
221303,discontinued
220655,mp exclusive
220656,mp exclusive
220657,mp exclusive
220658,discontinued
220659,discontinued
220701,discontinued
220702,discontinued
220703,discontinued
220704,discontinued
220705,discontinued
220706,discontinued
220770,mp exclusive
220771,mp exclusive
220772,mp exclusive
220773,mp exclusive
220774,mp exclusive
220775,mp exclusive
220776,mp exclusive
220777,discontinued
220778,discontinued
220779,mp exclusive
220780,mp exclusive
222032,discontinued
222033,discontinued
222052,discontinued
222053,discontinued
222021,continuity
222022,discontinued
222023,discontinued
222024,discontinued
222047,discontinued
222048,discontinued
222049,discontinued
222025,continuity
222026,continuity
222030,continuity
222031,continuity
222039,discontinued
222040,discontinued
222041,discontinued
222054,discontinued
222055,discontinued
222056,discontinued
222057,discontinued
222050,discontinued
222051,discontinued
222027,continuity
222028,continuity
222029,continuity
222034,discontinued
222035,discontinued
222036,discontinued
222037,discontinued
222038,discontinued
222044,discontinued
222045,discontinued
222046,discontinued
222042,discontinued
221321,discontinued
218491,discontinued
221991,discontinued
221306,discontinued
221305,discontinued
221298,discontinued
221297,discontinued
221327,discontinued
221299,discontinued
225673,discontinued
203585,discontinued
206283,discontinued
206284,discontinued
212420,discontinued
212421,discontinued
212424,discontinued
212425,discontinued
128927,discontinued
128929,discontinued
128930,discontinued
128931,discontinued
128932,discontinued
128934,discontinued
128936,discontinued
128937,discontinued
128938,discontinued
128939,discontinued
128940,discontinued
128942,discontinued
128943,discontinued
128944,discontinued
128945,discontinued
128946,discontinued
128948,discontinued
128949,discontinued
128950,discontinued
128951,discontinued
128952,discontinued
128953,discontinued
128954,discontinued
128955,discontinued
128956,discontinued
128957,discontinued
128958,discontinued
128960,discontinued
128961,discontinued
135032,discontinued
135034,discontinued
135035,discontinued
135036,discontinued
153139,core
135037,discontinued
135038,discontinued
135039,discontinued
135040,discontinued
135041,discontinued
135042,discontinued
135043,discontinued
135044,discontinued
135052,discontinued
135053,discontinued
135054,discontinued
135055,discontinued
135056,discontinued
135057,discontinued
135058,discontinued
135059,discontinued
135060,discontinued
152625,core
135061,discontinued
135062,discontinued
135063,discontinued
148073,discontinued
148074,discontinued
148075,discontinued
148076,discontinued
148077,discontinued
148078,discontinued
148079,discontinued
148080,discontinued
152026,discontinued
152027,discontinued
152028,discontinued
152029,discontinued
152030,core
152031,core
152032,core
152215,discontinued
152216,core
152616,core
152617,core
152622,core
152623,core
152624,core
206711,core
206712,core
208275,discontinued
208277,discontinued
208278,discontinued
208279,discontinued
208397,discontinued
208398,discontinued
208399,discontinued
208400,discontinued
208401,discontinued
208402,discontinued
208409,discontinued
208410,discontinued
208411,discontinued
208412,discontinued
208413,discontinued
208415,discontinued
208416,discontinued
208417,discontinued
208418,discontinued
208419,discontinued
208420,discontinued
208421,discontinued
208422,discontinued
208423,discontinued
208424,discontinued
208425,discontinued
208426,discontinued
209871,mp exclusive
209872,mp exclusive
209873,mp exclusive
209874,mp exclusive
209875,mp exclusive
209876,mp exclusive
209877,mp exclusive
215722,continuity
215723,continuity
215724,continuity
215725,continuity
215726,continuity
215727,continuity
215728,continuity
215931,mp exclusive
215933,mp exclusive
215934,mp exclusive
215935,mp exclusive
215936,mp exclusive
215937,mp exclusive
217624,mp exclusive
217625,mp exclusive
217626,mp exclusive
103594,discontinued
103595,discontinued
103596,discontinued
103597,discontinued
103598,discontinued
103599,discontinued
103600,discontinued
103601,discontinued
103602,discontinued
103603,discontinued
103604,discontinued
103605,discontinued
103606,discontinued
148283,discontinued
103607,discontinued
103608,discontinued
103609,discontinued
103610,discontinued
103611,discontinued
113668,discontinued
113669,discontinued
113670,discontinued
113671,discontinued
113672,discontinued
113673,discontinued
113674,discontinued
113675,discontinued
113676,discontinued
113677,discontinued
113678,discontinued
113679,discontinued
113680,discontinued
113681,discontinued
113682,discontinued
113683,discontinued
113684,discontinued
113685,discontinued
113686,discontinued
113687,discontinued
113688,discontinued
113689,discontinued
113690,discontinued
113691,discontinued
113692,discontinued
113693,discontinued
113694,discontinued
113695,discontinued
113696,discontinued
113697,discontinued
113698,discontinued
113699,discontinued
113700,discontinued
113701,discontinued
113702,discontinued
148284,discontinued
113703,discontinued
